Month,Town,FlatType,Block,StreetName,StoreyRange,FloorAreaSqm,FlatModel,LeaseCommenceDate,RemainingLease,ResalePrice
2023-01,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,31 TO 33,113,Improved,2019,95 years 01 month,923888
2023-01,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,37 TO 39,113,Improved,2019,95 years 01 month,885000
2023-01,BUKIT BATOK,5 ROOM,296B,BT BATOK ST 22,16 TO 18,113,Premium Apartment,2018,94 years 03 months,880000
2023-01,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,07 TO 09,113,Improved,2019,95 years 01 month,868000
2023-01,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,16 TO 18,113,Premium Apartment,2018,94 years 02 months,860000
2023-01,BUKIT BATOK,5 ROOM,296C,BT BATOK ST 22,10 TO 12,112,Premium Apartment,2018,94 years 03 months,840000
2023-01,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,13 TO 15,115,Premium Apartment,2018,94 years 02 months,830000
2023-01,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years,800000
2023-01,BUKIT BATOK,5 ROOM,296B,BT BATOK ST 22,04 TO 06,113,Premium Apartment,2018,94 years 03 months,775000
2023-01,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years 01 month,772000
2023-01,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,04 TO 06,112,Improved,2019,95 years,763000
2023-01,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,95 years 02 months,760000
2023-01,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,95 years 01 month,749000
2023-01,BUKIT BATOK,5 ROOM,440C,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years 03 months,745000
2023-01,BUKIT BATOK,5 ROOM,110,BT BATOK WEST AVE 6,22 TO 24,132,Model A,1985,61 years 02 months,713000
2023-01,BUKIT BATOK,5 ROOM,286,BT BATOK EAST AVE 3,10 TO 12,133,Model A,1995,72 years,700000
2023-01,BUKIT BATOK,5 ROOM,440D,BT BATOK WEST AVE 8,04 TO 06,112,Improved,2019,95 years 02 months,685000
2023-01,BUKIT BATOK,5 ROOM,291B,BT BATOK ST 24,16 TO 18,121,Improved,1998,74 years 01 month,680000
2023-01,BUKIT BATOK,5 ROOM,389,BT BATOK WEST AVE 5,16 TO 18,118,Improved,2005,81 years 02 months,677000
2023-01,BUKIT BATOK,5 ROOM,426,BT BATOK WEST AVE 2,07 TO 09,120,Improved,1987,63 years 04 months,558000
2023-02,BUKIT BATOK,5 ROOM,296C,BT BATOK ST 22,16 TO 18,115,Premium Apartment,2018,94 years 02 months,888888
2023-02,BUKIT BATOK,5 ROOM,293B,BT BATOK ST 21,28 TO 30,113,Improved,2019,95 years,888000
2023-02,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,13 TO 15,113,Improved,2019,95 years,876000
2023-02,BUKIT BATOK,5 ROOM,293A,BT BATOK ST 21,10 TO 12,113,Improved,2019,94 years 11 months,830000
2023-02,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,19 TO 21,112,Improved,2019,95 years,818000
2023-02,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,95 years,775000
2023-02,BUKIT BATOK,5 ROOM,443C,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years 01 month,755000
2023-02,BUKIT BATOK,5 ROOM,443B,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years 01 month,745000
2023-02,BUKIT BATOK,5 ROOM,440D,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years 02 months,740000
2023-02,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years 02 months,700000
2023-02,BUKIT BATOK,5 ROOM,388,BT BATOK WEST AVE 5,22 TO 24,110,Improved,2005,80 years 11 months,680000
2023-02,BUKIT BATOK,5 ROOM,384,BT BATOK WEST AVE 5,16 TO 18,118,Improved,2005,81 years 01 month,660000
2023-02,BUKIT BATOK,5 ROOM,291E,BT BATOK ST 24,04 TO 06,121,Improved,1998,74 years 01 month,650000
2023-03,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,25 TO 27,115,Premium Apartment,2018,94 years,918000
2023-03,BUKIT BATOK,5 ROOM,296C,BT BATOK ST 22,19 TO 21,115,Premium Apartment,2018,94 years,910000
2023-03,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,28 TO 30,113,Improved,2019,94 years 10 months,901888
2023-03,BUKIT BATOK,5 ROOM,293A,BT BATOK ST 21,10 TO 12,113,Improved,2019,94 years 10 months,888888
2023-03,BUKIT BATOK,5 ROOM,292B,BT BATOK EAST AVE 6,13 TO 15,113,Improved,2019,94 years 11 months,836000
2023-03,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,16 TO 18,113,Premium Apartment,2018,94 years,828000
2023-03,BUKIT BATOK,5 ROOM,451B,BT BATOK WEST AVE 6,13 TO 15,115,Improved,2019,95 years 01 month,810000
2023-03,BUKIT BATOK,5 ROOM,293A,BT BATOK ST 21,04 TO 06,113,Improved,2019,94 years 11 months,792888
2023-03,BUKIT BATOK,5 ROOM,442B,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years 01 month,790000
2023-03,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,04 TO 06,113,Improved,2019,94 years 10 months,780000
2023-03,BUKIT BATOK,5 ROOM,442C,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years,778000
2023-03,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,10 TO 12,112,Improved,2019,95 years,771000
2023-03,BUKIT BATOK,5 ROOM,296C,BT BATOK ST 22,01 TO 03,113,Premium Apartment,2018,94 years,760000
2023-03,BUKIT BATOK,5 ROOM,442C,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years,745000
2023-03,BUKIT BATOK,5 ROOM,443A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,95 years,720000
2023-03,BUKIT BATOK,5 ROOM,443C,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,95 years 01 month,690000
2023-03,BUKIT BATOK,5 ROOM,440D,BT BATOK WEST AVE 8,01 TO 03,112,Improved,2019,95 years 01 month,669000
2023-03,BUKIT BATOK,5 ROOM,394,BT BATOK WEST AVE 5,07 TO 09,118,Improved,2004,80 years 07 months,635000
2023-03,BUKIT BATOK,5 ROOM,325,BT BATOK ST 33,13 TO 15,122,Improved,1986,62 years 08 months,620000
2023-03,BUKIT BATOK,5 ROOM,288A,BT BATOK ST 25,04 TO 06,122,Improved,1997,73 years 09 months,618000
2023-03,BUKIT BATOK,5 ROOM,329,BT BATOK ST 33,04 TO 06,122,Improved,1986,62 years 09 months,555000
2023-04,BUKIT BATOK,5 ROOM,194A,BT BATOK WEST AVE 6,34 TO 36,112,Premium Apartment,2017,93 years 03 months,915000
2023-04,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,16 TO 18,115,Premium Apartment,2018,94 years,900000
2023-04,BUKIT BATOK,5 ROOM,293B,BT BATOK ST 21,13 TO 15,113,Improved,2019,94 years 09 months,881888
2023-04,BUKIT BATOK,5 ROOM,293B,BT BATOK ST 21,10 TO 12,113,Improved,2019,94 years 09 months,828000
2023-04,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,19 TO 21,112,Improved,2019,94 years 09 months,815000
2023-04,BUKIT BATOK,5 ROOM,451B,BT BATOK WEST AVE 6,16 TO 18,113,Improved,2019,95 years,810000
2023-04,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,10 TO 12,113,Premium Apartment,2018,93 years 11 months,808000
2023-04,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,95 years,790000
2023-04,BUKIT BATOK,5 ROOM,446A,BT BATOK WEST AVE 8,16 TO 18,112,Improved,2019,94 years 10 months,770000
2023-04,BUKIT BATOK,5 ROOM,440D,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,94 years 11 months,760000
2023-04,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,94 years 11 months,760000
2023-04,BUKIT BATOK,5 ROOM,101,BT BATOK WEST AVE 6,04 TO 06,151,Model A,1985,61 years 03 months,758000
2023-04,BUKIT BATOK,5 ROOM,450C,BT BATOK WEST AVE 6,19 TO 21,113,Improved,2019,94 years 11 months,750000
2023-04,BUKIT BATOK,5 ROOM,440B,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,94 years 11 months,745000
2023-04,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,94 years 11 months,743888
2023-04,BUKIT BATOK,5 ROOM,110,BT BATOK WEST AVE 6,16 TO 18,132,Model A,1985,60 years 11 months,727000
2023-04,BUKIT BATOK,5 ROOM,443B,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,94 years 11 months,720000
2023-04,BUKIT BATOK,5 ROOM,443A,BT BATOK WEST AVE 8,04 TO 06,112,Improved,2019,94 years 11 months,710000
2023-04,BUKIT BATOK,5 ROOM,443A,BT BATOK WEST AVE 8,04 TO 06,112,Improved,2019,94 years 11 months,705000
2023-04,BUKIT BATOK,5 ROOM,383,BT BATOK WEST AVE 5,25 TO 27,115,Improved,2005,80 years 11 months,695000
2023-04,BUKIT BATOK,5 ROOM,445A,BT BATOK WEST AVE 8,04 TO 06,112,Improved,2019,94 years 10 months,690000
2023-04,BUKIT BATOK,5 ROOM,445A,BT BATOK WEST AVE 8,07 TO 09,112,Improved,2019,94 years 09 months,690000
2023-04,BUKIT BATOK,5 ROOM,111,BT BATOK WEST AVE 6,07 TO 09,132,Model A,1985,60 years 11 months,685000
2023-04,BUKIT BATOK,5 ROOM,290E,BT BATOK ST 24,13 TO 15,121,Improved,1997,73 years 09 months,680000
2023-04,BUKIT BATOK,5 ROOM,390,BT BATOK WEST AVE 5,04 TO 06,118,Improved,2004,80 years 07 months,630000
2023-04,BUKIT BATOK,5 ROOM,236,BT BATOK EAST AVE 5,04 TO 06,121,Improved,1985,61 years 02 months,628000
2023-05,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,37 TO 39,113,Improved,2019,94 years 09 months,933888
2023-05,BUKIT BATOK,5 ROOM,293B,BT BATOK ST 21,37 TO 39,113,Improved,2019,94 years 09 months,918000
2023-05,BUKIT BATOK,5 ROOM,450B,BT BATOK WEST AVE 6,19 TO 21,113,Improved,2019,94 years 10 months,880000
2023-05,BUKIT BATOK,5 ROOM,296A,BT BATOK ST 22,28 TO 30,115,Premium Apartment,2018,93 years 11 months,870000
2023-05,BUKIT BATOK,5 ROOM,293C,BT BATOK ST 21,19 TO 21,113,Improved,2019,94 years 09 months,835000
